condition	reads	matched
inoculum_rep2	6315150	6011918
inoculum_rep3	5051042	4806605
LB_6_generations_rep1	6417855	6109586
PA14_transconjugant	9049519	7858749
LB_6_generations_rep2	23498144	20924243
inoculum_rep1	24688109	21627314
high_inoculum_rep1	14823118	13570395
high_inoculum_rep2	46688499	42153183
high_inoculum_rep3	19288913	17595855
low_inoculum_rep1	37563192	34062219
low_inoculum_rep2	18867823	17557910
low_inoculum_rep3	12655	10737
low_inoculum_rep4	11489636	10495961
low_inoculum_rep5	10544967	9824367
E_coli_mating_strain	3608968	2725733
